PROJ_ID,ORG_ID,POOL_NO,ALLOC_GRP_NO,ACCT_ID,FY_CD,MODIFIED_BY,TIME_STAMP,BURD_AMT,ALLOW_BURD_AMT,COM_AMT,COM_ALLOW_AMT,ROWVERSION,COMPANY_ID,DISC_AMT
010803.000.001.001.006,1.01,175,1,1010-010,2016,JLAPINGTON,2017-06-28,2.42,0,0,0,0,1,0
010301.001.001,1.01.01,175,1,1000-000,2016,JLAPINGTON,2017-06-28,604.59,604.59,0,0,0,1,0
010802.002.005,1.01.01,120,1,1000-000,2016,JLAPINGTON,2017-06-28,0,0,0,0,0,1,0
010105.004.001.001.004,1.01.01,110,1,1000-100,2016,JLAPINGTON,2017-06-28,5756.5,5756.5,0,0,0,1,0
010803.000.001.001.006,1.01.01,121,1,1000-100,2016,JLAPINGTON,2017-06-28,45180.03,0,0,0,0,1,0
020103.002.001,1.01.01,121,1,1000-100,2016,JLAPINGTON,2017-06-28,8740.52,0,0,0,0,1,0
010105.003.002.009.003,1.01,175,1,1100-000,2016,JLAPINGTON,2017-06-28,214.82,214.82,0,0,0,1,0
020110.000.003.007,1.01,175,1,1100-000,2016,JLAPINGTON,2017-06-28,1.62,0,0,0,0,1,0
010102.002.010.005,1.01.01,175,1,1000-100,2016,JLAPINGTON,2017-06-28,1381.1,1381.1,0,0,0,1,0
010105.004.002.001.002,1.01.01,110,1,1000-100,2016,JLAPINGTON,2017-06-28,137.36,137.36,0,0,0,1,0
010106.001.011.002.003,1.01.01,121,1,1000-100,2016,JLAPINGTON,2017-06-28,2239.9,2239.9,0,0,0,1,0
020401.001.002,1.01.01,110,1,1000-100,2016,JLAPINGTON,2017-06-28,2158.55,2158.55,0,0,0,1,0
020108.000.001,1.01,160,1,1100-000,2016,JLAPINGTON,2017-06-28,169.09,0,0,0,0,1,0
020110.000.003.005,1.01,175,1,1100-000,2016,JLAPINGTON,2017-06-28,387.41,0,0,0,0,1,0
000850.001.002,1.01.01,110,1,0800-000,2016,JLAPINGTON,2017-06-28,1484.93,0,0,0,0,1,0
010106.001.008.006,1.01.01,175,1,1000-000,2016,JLAPINGTON,2017-06-28,239.87,239.87,0,0,0,1,0
010105.003.002.007.003,1.01.01,175,1,1000-100,2016,JLAPINGTON,2017-06-28,63.98,63.98,0,0,0,1,0
010105.003.002.010.003,1.01.01,121,1,1000-100,2016,JLAPINGTON,2017-06-28,14049.08,14049.08,0,0,0,1,0
010106.001.011.010.004,1.01.01,175,1,1000-100,2016,JLAPINGTON,2017-06-28,5324.48,5324.48,0,0,0,1,0
020801.000.001,1.01.01,121,1,1000-100,2016,JLAPINGTON,2017-06-28,13220.54,0,0,0,0,1,0
010802.000.002,1.01.01,121,1,1000-100,2016,JLAPINGTON,2017-06-28,2347.22,2347.22,0,0,0,1,0
020101.001.008,1.01.01,175,1,1000-100,2016,JLAPINGTON,2017-06-28,2847.38,0,0,0,0,1,0
